,question,result
1050,Is it possible to crack CAT test without maths?,()
1051,Which is the best university for M.Sc in food science or food technology in India?,()
1052,Do CAT score is not mandatory for admissions in all IIT for MBA course?,"('EXAM-scores-direct-opinion',)"
1053,"What is the basic difference between B.Sc in computer science, B.Sc in IT and BCA?","('COMPARISON-course comp-indirect-opinion',)"
1054,Which engineering colleges can I get? Which is a better option among LPU-Jalandhar and SNU-Noida?,()
1055,"What is the complete procedure to get an admission in IEMR, Gurgaon","('LISTING-Admissions-direct-factual',)"
1056,What is the difference between part-time MBA and correspondence MBA ? Which is better ? Plz suggest me.,"('COMPARISON-course comp-indirect-opinion',)"
1057,Will board marks be considered for the JEE Mains 2016?,()
1058,can you show me a good university having UG arts courses and good hostel facilities in northern India?,"('LISTING-hostel-direct-opinion',)"
1059,I'm an English graduate with 55% and don't want to do Masters in the same. Which course should I consider now for Masters?,()
1060,"Can I get admission in NIT, Warangal for CSE or ECE? I have got 1551 rank in JEE Mains.","('LISTING-Admissions-direct-opinion',)"
1061,What was the minimum and maximum salary package offered last year? How do I apply for MBA admission at Ganga Institute?,"('LISTING-placements-indirect-factual',)"
1062,When will the online application open for 2018-2019 admission?,()
1063,Does backlogs in BE affect in visa process of Canada for Masters? How many backlog are enough to study abroad?,"('LISTING-Fees-indirect-factual',)"
1064,"What is the fees for entire course and subject covers under course.If any placement record,Pl. give deatils",()
1065,When will the forms of Ahilya Bai College of Nursing for B.Sc in nursing be out?,()
1066,How to Prepare for EPF Exam?,"('EXAM-preparation-direct-opinion', 'EXAM-scores-indirect-opinion', 'LISTING-GDPI-indirect-opinion')"
1067,what is the level of questions asked at Cima gateway,"('EXAM-pattern-direct-factual', 'LISTING-GDPI-indirect-opinion')"
1068,Can you share some tips regarding JNU entrance exam?,"('LISTING-Entrance exam-direct-opinion',)"
1069,"Which is a better college to pursue B.Tech among GITAM and KL University, Guntur? How is its placement assistance?",()
1070,"Am I eligible for IIFT DELHI? My profile-10th-82%, 12th-83% UP board, B.Sc. PCM final year. I do not have any work experience.",()
1071,Are body tattoos allowed in IITs?,()
1072,I HAVE PASSED 12 STANDARD FROM ANDHRA PRADESH NOW I WISH TO JOIN B.COM COURSE IN MUMBAI. WHICH CUT OFFS ARE APPLICABLE FOR ME.... IS IT HIGHER THAN THE NORMAL CUT OFFS??  WHO IS AN INHOUSE STUDENT??,"('LISTING-Cut off-direct-opinion',)"
1073,Can we apply for engineering with the help of JEE paper 2?,"('EXAM-sample papers-direct-factual', 'EXAM-sample papers-direct-opinion')"
1074,how to prepare for set (law) exam,()
1075,Which is better Indraprastha College for women or Daulat Ram College for B.COM(H).? Please help. Urgent!,()
1076,"How I can qualify the SSB interview in order to get admission in NDA, Pune?",()
1077,Will I be eligible to pursue PG in Nz with a UG done through distance education?,"('LISTING-eligibility-direct-factual',)"
1078,Am I eligible to get admission in BK? I have scored 164 marks.,"('LISTING-eligibility-direct-factual',)"
1079,What are the expected scores and other procedures to pursue MBA ?,()
1080,what is the minimum GRE score needed to get the admission?,"('EXAM-scores-direct-opinion', 'LISTING-Cut off-indirect-opinion')"
1081,Can I get admission before the counselling of UPSEE? I got 4k OBC rank.,"('EXAM-counseling-direct-factual', 'LISTING-Counselling-direct-factual', 'LISTING-Counselling-direct-opinion')"
1082,Is Chartered Finance Manager course affiliated by ICAI?,"('LISTING-Affiliation-direct-factual',)"
1083,"Does anyone have an idea about facilities provided at the hostel in Christ University, Bangalore?","('LISTING-hostel-direct-factual', 'LISTING-hostel-direct-opinion')"
1084,Which are the top event management colleges in India?,"('COMPARISON-College comparison-direct-opinion',)"
1085,is masters from ignou are eligible for net exam,"('LISTING-eligibility-direct-factual',)"
1086,What is the difference between B.Sc in HM and Bachelors in HM?,"('COMPARISON-course comp-indirect-opinion',)"
1087,from where can i get previous year solved paper for engineering entrance exam of jamia millia islamia?,()
1088,can i know about the facilities provided in hostel and college for mba studens...,"('LISTING-hostel-direct-opinion',)"
1089,"i have got 34082 rank in eamcet i want to join in your college by management kota , how much does it cost",()
1090,"Am currently doing my 3rd year B.e in &quot;Information Science and Engineering&quot; in Bangalore. My interest is automobiles,but due to unavoidable circumstances i had to study Be in ISE.so is there any option for me to choose a career in automobile ind or higher education?",()
1091,What is the last date for submitting the application form? Is it 17th Feb? TANCET exam result will be declared after 1st week of May.,()
1092,"Sir, i belong's to a middle class family so i wanted to know about the expense in this field.","('LISTING-Fees-indirect-opinion',)"
1093,from where i can download rbi's garde b previous years papers for free?,"('EXAM-sample papers-indirect-factual',)"
1094,How much should I score in CAT and GDPI to pursue MBA from abroad ?,"('EXAM-scores-direct-opinion',)"
1095,Is it possible to get admission for Geology B.Sc. if a student've scored poor percentage in 12th?,()
1096,Which college will I get as per my score? I have scored 113 marks in JEE and I belong to OBC category.,"('EXAM-scores-direct-opinion',)"
1097,"i am a 17yr old girl,studying in 11th standard. i am an ias aspirant.i really want to become an ias officer.HOw and when should i start preparing for the UPSC examination? please help",()
1098,What is the criteria to shift career?,()
1099,HOW LONG ARE MY JEE SCORES VALID ?? I APPEARED IN 2013 JEE MAINS AND WISH AN ADMISSION IN 2014.,()
1100,what is the pattern of civils examination,()
1101,how can i apply for bcom pass at St. Xavier's College mumbai or other colleges in delhi,"('LISTING-review-indirect-opinion',)"
1102,Can I do CA along with B.Com?,()
1103,Which course is better: radiology or cardiology?,"('COMPARISON-course comp-indirect-opinion',)"
1104,Is it good to pursue CSE from IIIT?,()
1105,"How is Amity University, Noida for pursuing MBA?","('LISTING-placements-direct-factual',)"
1106,hello sir . i need to ask you that i finished my first year (1st and 2nd semester ) from your university and took transfer to another university due to my dad s transfer ..now im applying for physiotherapy in america and i have already submitted all my degree and provisional and transcript frm the university i completed but they also require your allahabad transcript of first year  &amp; syllabus which i finished in year 2005-2006.. how can i get it ?,()
1107,How much CAT score is needed to pursue MBA in pharma management?,"('EXAM-scores-direct-opinion',)"
1108,"What is the eligibility criteria to pursue ME, MS or MBA in BITS? Which is the best course among all these?",()
1109,What is the career scope of doing BBA in Amritsar? What else can a commerce student do along with this course?,()
1110,"Which is a better college to pursue B.Tech, MIT-Pune or KJ Somaiya Institute of Technology, Mumbai?","('COMPARISON-College comparison-indirect-opinion',)"
1111,what are your reviews about Institue of international trade? Should I go for it ? I want to take admission in b.com(hons).?,()
1112,"need the details of MTECH through diatance education in andhra university.if it is there ,plz forward the notification",()
1113,How can I score good marks in JEE Mains and Advanced exam?,()
1114,I'm from SC category. How many marks do I need to score in NEET?,"('EXAM-scores-direct-opinion', 'LISTING-Cut off-indirect-opinion')"
1115,What qualities and skills should one possess to become a journalist?,()
1116,when we get notification on industrial safety from connect it,()
1117,Which one is better among GNIHM (Calcutta) and NSHM (Durgapur) for MA in hotel management in terms of placements and faculty members?,()
1118,What is the commencement date of MBA programme (2017-19 batch)?,()
1119,Can I appear for GATE exam after completing my 4th year?,()
1120,Which branch of engineering can I opt with 190.5 cut-off in PCM?,()
1121,How can I appear for state government counselling via JEE Mains rank?,()
1122,i have got 85% in 12th (PCM) and 97 MARKS IN AIEEE AM I ELIGIBLE,()
1123,"Is there any sectional cut off for IMT, Ghaziabad while applying through XAT?","('LISTING-Cut off-direct-opinion',)"
1124,"I am B.Com and completed from Mumbai University in 2005 and done one job in post-order dept. Plz guide me in selection course and my interest is in account but no any experience in this fieldregards,swapnil",()
1125,I am in my 7th semester B. Tech (CSE).  I want to pursue my career in Networking field. I live in delhi. Where should I start my training?,()
1126,"Can I get admission in any NIT, IIIT or GFTI? I have got 80k rank in JEE Mains and I belong to OBC category.","('EXAM-counseling-direct-opinion', 'LISTING-Admissions-direct-opinion', 'LISTING-Admissions-indirect-opinion', 'LISTING-Counselling-indirect-opinion')"
1127,Can I get details about Degree for mechanical after Diploma?,()
1128,"How many marks are required in JEE Mains to get admission in MBM, Jodhpur for CSE?",()
1129,Which college is better between GH Patel and DDU for MBA?,()
1130,Is RIIM Pune a good college for MBA?,()
1131,What is the eligibility criteria to pursue B.Tech? What is the fee structure of B.Tech in top engineering colleges?,()
1132,how much fee in sit pune in 1st year,()
1133,I have completed my DBM. Am I eligible to take admission in MBA after this Diploma course? What will be the duration of MBA after DBM?,"('LISTING-eligibility-direct-factual',)"
1134,Which is the best institute to pursue air hostess training course? Does it offer 100% placements?,()
1135,is this institute affiliated by any university?,"('LISTING-Affiliation-direct-factual', 'LISTING-Affiliation-direct-opinion')"
1136,"how is the hostel facilities in CIT ,coimbatore?hostls are gud ?","('LISTING-hostel-direct-factual', 'LISTING-hostel-direct-opinion')"
1137,"Which of these is better: B.Tech in CSE from IIT, Bombay or B.Tech in CSE from IIT, Delhi?","('COMPARISON-College comparison-indirect-factual',)"
1138,how many fees ?,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
1139,"Can I apply to this college for RM? My profile: 10th-87%, 12th-92.16%, graduation-81%, GMAT-530, NMAT-167 &amp; 3 years of experience.",()
1140,"What rank do I need to get in JEE Mains 2018 to get admission in NIT, Warangal for civil engineering?","('LISTING-Admissions-direct-opinion',)"
1141,What is the eligibility criteria to pursue MBA? How is Regional college of Management for pursuing the same? Which are the other B-schools?,()
1142,What is the CAT cut off required to get shortlisted in this college? What is the ratio of shortlisted students to converted students?,()
1143,"What are the entrance exams to attend for 12th (biology, maths group) student?",()
1144,How can I get my class 12th board exams paper rechecked?,()
1145,Which one is better among BCA and BCS?,"('COMPARISON-course comp-indirect-opinion',)"
1146,Who is the best engineering collage for computer science,()
1147,What is the required cut-off to get admission in this college for MBA? What is its fee and placement for the same?,"('LISTING-Cut off-direct-opinion',)"
1148,Is there any other hostel available for MBA students out side the campus? I found the campus hostel average.,"('LISTING-hostel-direct-opinion',)"
1149,"I have completed my B.Com from CCS University, Meerut. Can you suggest the best coaching centers in Delhi for the entrance exam of LLB?","('EXAM-coaching -direct-opinion',)"
1150,The fees mentioned: INR 219500 - is it for the 2 years or the Annual fees?,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
1151,What is the eligibility criteria to pursue MBA? Which are the best colleges to pursue MBA?,()
1152,institute of business management studies(IBMS) affilited to which university,"('COMPARISON-College comparison-direct-opinion',)"
1153,Can I get admission without JEE Mains entrance exam in a good college in Delhi to pursue B.Tech?,()
1154,Which branch can I choose to complete my degree after completing Diploma in mechanical?,"('COMPARISON-course comp-indirect-opinion',)"
1155,Is kazan university is approved by MCI?,"('LISTING-Affiliation-indirect-factual',)"
1156,hi i am a student of mca nw i m in 5th semester. in jan 2011 my 6 month training is started and i want to do this in banglore. my area of interest is software testing so plz tell me in which company or institute is suitable for me.,()
1157,"i am a 4th yr. b.tech student(computer science).what GATE score and rank is reqd. to get a seat in jadavpur univ. or besu,shibpur?",()
1158,Which college and which branch can I get in Telangana? My EAMCET rank is 40000.,()
1159,How are the placements in this institute? I am willing to do Masters from SIMC.,"('LISTING-placements-direct-opinion',)"
1160,is ptu is recognised by UGS,"('LISTING-Affiliation-indirect-factual',)"
1161,"I am 12th passed from Haryana board, with Commerce streams now want to be do study of b.com online free of cost. please tell me if there is any way or processure of it.",()
1162,I  am a student of diploma engineering . I want to know about JELET . My age is 23 now . Am I eligible for this exam ?,()
1163,In which college can I get admission with 87.04 percentile in CAT exam?,()
1164,when can take admission to bba course?,()
1165,I have done with my +2  exams from CBSE with Commerce stream. i got 60% marks. I want to know whether i can get admission in BBA in your college this year? and from when the admissions are going to start?,()
1166,What should I do after 12th with PCM stream if I am unable to choose my career of interest?,"('COMPARISON-course comp-indirect-opinion',)"
1167,What is the cut-off for B.Arch in IPU?,"('LISTING-Cut off-direct-opinion',)"
1168,what is the minimum marks required by an obc,"('EXAM-cut off-indirect-factual', 'LISTING-Cut off-indirect-opinion')"
1169,"sir, i have done M.Sc (1999)&amp;Ph.D in Biochemistry (2004) in Biochemistry from Karnataka University, Dharwad.Am i eligible for the faculty position in medical college. If not, am i supposed to do any additional course to be eligible","('LISTING-eligibility-direct-factual',)"
1170,I want to join GATE coaching center in August. Which will be the best center in Chandigarh for the same?,"('EXAM-coaching -direct-opinion',)"
1171,Is it appropriate to do B.Sc along with IPS coaching or should I do any other degree course?,"('EXAM-coaching -direct-opinion',)"
1172,"Hi All, i have done B.E in Electrical n now i want to do M.E with Computer Science from IISC or IIT.for this i have to clear GATE but my question is M i eligible for giving the GATE  in computer as my B.E. in Electrical?",()
1173,"Am I eligible to get admission here? My profile: CAT-95.71 percentile, 10th-8.4 CGPA, 12th-73.6%.",()
1174,after clearing the exam cmat or gmat is it more difficult next round of exams like gd ect,()
1175,How to prepare for NDA entrance? I am in 12th now &amp; shall be writing the exams this September.,()
1176,hiiiiiiiiiiiii i am sonia from jabalpur student of b.com 6th semester plz suggest what can i do for better future,()
1177,What are the documents required for JEE mains counseling?,()
1178,What is the fee structure of pursuing B.Com Honors in Sri Ram College of Commerce?,()
1179,"what is the average GMAT score accepted by great lakes for PGDM, ??","('EXAM-scores-direct-opinion',)"
1180,I got OBC rank of 46752 and I am from Andhra Pradesh. Can I get a seat in any NITs or IIITs according to my rank?,()
1181,"How would you rank Information Management or operation streams from NMIMS, Mumbai?",()
1182,I am M.sc pass out from bangalore in 2011...I have done my M.sc in microbiology am i eligible for P.Hd,"('LISTING-eligibility-direct-factual',)"
1183,What are my chances for MMS? I have scored 84.49 percentile in CET with NT 1 category.,"('EXAM-scores-direct-opinion',)"
1184,Can I give both online and offline exams of JEE main 2018?,()
1185,what is the cut off of Msc,"('LISTING-Cut off-direct-factual', 'LISTING-Cut off-direct-opinion')"
1186,Which are the Universities offering MPharm in UK? Is it possible to make money enough to pay through part time job to pay for tuition fee?,()
1187,Can I get admission in computer engineering stream with 165610 rank in JEE Mains?,()
1188,"Which is the best branch among mechanical, aeronautical, mechatronics and mining engineering?",()
1189,I sent my documents for admissions into post graduate program in hotel management and would need a reply,()
1190,Which among the aerospace or aeronautical engineering is a better choice?,"('COMPARISON-College comparison-indirect-factual',)"
1191,I am in 11th and I want to take a drop year after 12th to solve some classic maths and physics books. Will there be any problem?,()
1192,Is it worth to invest in XIME Bangalore for PGDM in Finance?,()
1193,what is the placement of xcellon college,"('LISTING-placements-direct-opinion',)"
1194,"If I get 12 marks in JEE Mains and my 12th board percentage is 91, what would be my rank?",()
1195,Do you provide hostel facility in the college?,"('LISTING-hostel-direct-factual', 'LISTING-hostel-direct-opinion')"
1196,What are your reviews about SBIIMS-Pune?,()
1197,"What is the eligibility criteria to pursue MBA from IIM, Udaipur?",()
1198,Would MBA abroad be tough for a student with a Science background? Is the syllabus different than in India?,"('EXAM-syllabus-direct-opinion',)"
1199,How to prepare for CAT? How much graduation(BBA) percentage is required for admission?,"('EXAM-preparation-direct-opinion',)"
1200,what is the fees for MPSC ?,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
1201,what is the procedure to get the admission in your collage,"('LISTING-Admissions-direct-factual',)"
1202,What about psg college of technology do they offer btech in computer sci?,()
1203,I have done B.Sc (IT)-distance education from Kuvempu University through lateral entry in 2012. Am I eligible for government jobs like UPSC?,"('LISTING-eligibility-direct-factual',)"
1204,"Dear Siri passed my second year b.sc (physics) from the mumbai university , but due to some reason i am not able to give third year exam but i appeared whole year as a regular student. in year 2005 i written the exam but not cleared. from 2005 to til date i didn\'t get the time to move mumbai. So My question is that can i appeared in inderprastha or any other university.Waiting for your replyThank &amp; RegardsRavindar Kumar Tak",()
1205,What should I do now? I have scored 72 marks in JEE Mains 2017 and have prepared for it without any coaching.,()
1206,What is the required score to get admission in Symbiosis Institute of International Business for pursuing MBA in agribusiness?,()
1207,"is it better to take mechanical group in JNTU ,HYDERABAD campus or to take ECE group in VIGNANA JYOTHI ENGINEERING COLLEGE,HYDERABAD?between these two options which one is better?suggest me one option please?",()
1208,What should I study among B.Sc and Diploma?,()
1209,"I am a 1st-year student of B.Com (2017). When will I become eligible to give CAT exam, 2019-2020?",()
1210,Is it possible to crack competitive entrance exams with self preparation?,"('LISTING-Entrance exam-direct-opinion',)"
1211,sir i am asmall middle class family boy how to give such a big fee and i m interested,()
1212,Can I get the list of the colleges in Mumbai to pursue B.Sc-IT which accepts only PCB in 12th with science stream as eligibility criteria?,()
1213,Do I stand any chance to get a college for MBBS with a score of 243 and a percentile of 76.421105 in NEET? I belong to general category.,"('EXAM-scores-direct-opinion',)"
1214,Which college is better for mechatronic engineering in Coimbatore or Chennai?,()
1215,How are the opportunities of placements for MCA students?,"('LISTING-placements-direct-opinion',)"
1216,Am I eligible for bhu varanasi to get admission into through SC category. I have 23.08%??,()
1217,Am I eligible for M.Sc in Delhi University? I am pursuing B.Sc in bioscience with chemistry majors.,"('LISTING-eligibility-direct-factual',)"
1218,I want know Is it necessary to write NATIONAL LEVEL ENTRANCE EXAM for joining BSc (Agri),"('LISTING-Entrance exam-direct-opinion',)"
1219,Which engineering specialization is better among civil and IT in terms of placement?,()
1220,How to participate in the events organised by this institute?,()
1221,how i am improve my Communication Skills for mba in hr,()
1222,What are the qualifying marks in JEE Mains-2017 for general category?,()
1223,How can I prepare for class 12th exam?,()
1224,my name is akshay and i am currently pursuing my btech final year i would be appearing for my gre exam in october this year the only question that keeps on popping up in my mind is how much score would be required in the new gre format to put me in a good university with computer science?,()
1225,What is the process of getting admission in a Govt. college for B.Arch through NATA as I haven't got y NATA score card?,()
1226,"Which is a better college for MBA, IILM or IBS?",()
1227,"Is there a way in SHIKSHA.com wherein, i can filter all those colleges accepting ATMA score and then compare them.","('EXAM-scores-direct-opinion',)"
1228,When should I start preparing for my CAT exam? Should I start it from this year or next year?,"('EXAM-dates-indirect-factual',)"
1229,"If I do not have the JEE MAIN cut-off marks ,can I get any NIT?? can I participate on JoSSA or CSAB for counselling to get admission in NIT?",()
1230,What is the eligibility for B.Arch cource in HINDUSTAN UNIVERSITY?,()
1231,Generally When the notification for admissions will be released?,()
1232,I am persuing B.E (mechanical) from university of kashmir .this is my 2nd year (4th sem) .i am supposed to complete my degree in 2012 .after which i want to do masters in the same field in canada or us .so please help me out with the procedure .imean exams n formalities that i will have to complete,()
1233,Can I get the OJEE PGAT cut-off of 2016?,"('EXAM-cut off-direct-opinion', 'LISTING-Cut off-direct-factual', 'LISTING-Cut off-direct-opinion')"
1234,How does neet 2 affect cut off?,"('LISTING-Cut off-direct-opinion',)"
1235,Can I get admission in this college? I have scored 35 marks in JEE mains and 320 marks in class 12th.,()
1236,What is the required CMAT percentile to get shortlisted for GD/PI?,"('EXAM-GDPI-direct-opinion', 'LISTING-GDPI-direct-opinion')"
1237,How is Srishti School of Art Design and Technology to pursue design?,()
1238,is there any entrance for joining event managemen after10+2?? if yes den from where and wen can i get d form??,()
1239,What is the eligibility criteria for doing M.Sc in fashion design or costume design through distance education?,()
1240,what is the scope after doing pgp business practice and corporate leadership(industry integrated)from bsb?,()
1241,Can you name the top most companies which came for campus placement at KIITs?,"('LISTING-placements-direct-opinion',)"
1242,Can I get admission in NIT for CSE with 52168 rank in JEE Mains?,"('LISTING-Admissions-direct-opinion', 'LISTING-Admissions-indirect-opinion')"
1243,What is the syllabus of MHT-CET 2018?,"('EXAM-syllabus-direct-factual', 'EXAM-syllabus-direct-opinion')"
1244,I got seat in IIIT Sri city how is it? Is it better than IIIT Jabalpur?,()
1245,Can I get a good college for B.Arch after scoring 149/200 in NATA and 3439 rank in JEE Mains (paper 2)? What is the admission procedure?,"('EXAM-sample papers-direct-opinion',)"
1246,i want to do mba how much year it will take for completing it?? can you tell me the procedure of it with best college &amp; its fees,()
1247,"Is there any fee concession for category students in Venkateshwara Open University, Pune for MBA in Operation and Production Management?",()
1248,what type of questions are asked in entrance test,"('EXAM-pattern-direct-factual', 'LISTING-GDPI-indirect-opinion')"
1249,WHICH IS THE BEST INSTITUTE OF MBA COLLEGE IN DELHI,()
1250,"What is the placement record? What is the lowest, average and highest package offered to the last batch of MBA / PGDM?","('LISTING-placements-direct-factual', 'LISTING-placements-direct-opinion', 'LISTING-placements-indirect-factual')"
1251,Which is the best online university to do MS in Computer science engineering?,()
1252,Which engineering is better among instrumentation and IT? Which has more scope?,"('COMPARISON-course comp-indirect-opinion',)"
1253,what could be the total fees for this P.G program and important dates,"('LISTING-Fees-direct-opinion',)"
1254,Which course am I eligible to pursue without MAth to pursue a career in finance?,"('LISTING-eligibility-direct-factual',)"
1255,Is there any concession in fees or admission structure for the ward or ex-serviceman.,"('LISTING-Fees-direct-opinion',)"
1256,Which is the best branch of engineering among electrical and civil in terms of placement?,"('COMPARISON-course comp-indirect-opinion',)"
1257,"Can you give some counseling advice for JEE Mains and Advanced? I am interested in electrical, mechanical and civil engineering.",()
1258,Can I get admission in NIT with 10000 rank in JEE mains 2016?,"('LISTING-Admissions-direct-opinion', 'LISTING-Admissions-indirect-opinion')"
1259,How can I get scholarships in engineering colleges like MIT or Stanford and other foreign universities?,()
1260,"Which is the best university to pursue MBA, Christ University or Alliance University?",()
1261,"where is the question paper for entrance exam of mtech for iiit,Hyderabad ?","('EXAM-sample papers-direct-factual', 'EXAM-sample papers-direct-opinion', 'EXAM-sample papers-indirect-factual')"
1262,is iibs affiliated to bhrathiar university?,"('LISTING-Affiliation-direct-factual', 'LISTING-Affiliation-direct-opinion')"
1263,Is there an Entrance exam for Msc Physics in Mysore university...??? if yes then whats the exam pattern..??syllabus..??,"('EXAM-syllabus-direct-opinion',)"
1264,Can I appear for JEE Mains and Advanced exam with 62% in HSC? Can I get admission in IIT if I qualify JEE Mains and Advanced exam?,()
1265,"I got 161 in CMAT Sept, 2013 and my national rank is 10662. Can I apply for the institute ?",()
1266,"Among marketing and finance, which specialisation is better in Welingkar in terms of placement?",()
1267,Which institute is better for engineering among IISC or IIT?,()
1268,What is the eligibility percentage required in class 12th for JEE mains 2017?,()
1269,Is NCHMCT application form out for 2018 exam?,"('EXAM-dates-indirect-opinion', 'LISTING-Admissions-indirect-factual')"
1270,What should I do to pursue M.Tech in production or automobile? I have got 27 marks in GATE &amp; the cut-off for mechanical is 32.7.,()
1271,Am I eligible for B.Tech? I have scored 40% in 12th (PCM) and overall 65%.,"('LISTING-eligibility-direct-factual',)"
1272,Is it worth to pursue MBA in aviation? Which is the topmost college for the same?,"('COMPARISON-College comparison-direct-opinion',)"
1273,Which is the best campus of this college for MBA in marketing management and not for PGDM?,()
1274,What is the syllabus of M.Sc in applied geology and geomatics at The Gandhigram Rural Institute?,"('EXAM-syllabus-direct-opinion',)"
1275,Can I apply for admission with a CAT percentile of 81? When is the last date for applying?,()
1276,What profiles are offered in marketing? Are they related to sales? What is the average package offered for marketing?,"('LISTING-placements-indirect-factual',)"
1277,Which topics are given more weightage for preparation in the APSET?,()
1278,how can i get admission in coer,()
1279,I am a pass out student of B.Com but have to re-appear in my 4th semester. Am I eligible for MAT 2017?,()
1280,Is it possible to get in IAS without any coaching?,"('EXAM-coaching -direct-opinion',)"
1281,Can I get the updates regarding NEET exam? Can I get the previous year's question paper?,"('EXAM-sample papers-direct-factual', 'EXAM-sample papers-direct-opinion', 'EXAM-sample papers-indirect-factual')"
1282,Can a student who got failed in 12th join this college on the basis of JEE Mains?,()
1283,"may i know that for MBA studies in US or other countries,how much it costs ? and what exams should be written for MBA in abroad??",()
1284,Which is a better combination in terms of scope among BBA-MBA and BCA-MBA?,"('COMPARISON-course comp-indirect-opinion',)"
1285,Am I eligible to pursue MBA at AIMS? I am pursuing a correspondence degree. I have scored in class 10th: 53% and class 12th: 83%.,()
1286,Which colleges can I get with 334347 AIR in JEE Mains and 7004 ST category rank?,"('LISTING-Admissions-direct-opinion',)"
1287,is this course of Dr.Bhatia medical coaching institute for two years for the fees of 5000,()
1288,"How should I prepare to get admission in IIM, Indore? Is TIME, Cannaught Place best for the same?",()
1289,"Which institute is better for engineering: THDC IHET, Tehri, Graphic Era or DIT?",()
1290,Im final yr degree student. when is the last date of appl for MBA?,()
1291,"How is Anna University, Bangalore and what is the average package offered by this college?","('LISTING-placements-indirect-factual',)"
1292,Which is the best coaching centre for NDA?,"('EXAM-coaching -direct-opinion', 'EXAM-coaching -indirect-opinion')"
1293,"Which is a better college for MBA among Indira Institute, Pune and Sri Balaji College, Pune?",()
1294,i want to know if i should prepare for my cat entrance exam to get into advertising and pr. i would lik to know whats more useful. mba in advetsing and pr or pg diploma / pg in advertising?,()
1295,What should be my score in NEET to get a good govt. college?,"('EXAM-scores-direct-opinion',)"
1296,Is it true that many foreign universities provide admission on the basis of Skype interview? Do they don't require IELTS scores?,()
1297,"I am a PCM student, Can you suggest some courses that I can pursue after 12th?  How should I prepare for them?","('EXAM-preparation-direct-opinion',)"
1298,Which is the best college to pursue executive MBA in HR or correspondence MBA in HR?,()
1299,Which institute is better to pursue BBM course among AIMS and AIT?,()
1300,What is the syllabus of GUJCET? Will there be topics from class 12th?,"('EXAM-syllabus-direct-opinion',)"
1301,I live in Pakistan. I want to take admission in MBBS abroad. Can you suggest the best country?,()
1302,"Will I be able to get a call from this college with 97 %ile in ATMA? My academic scores in 10th,12th &amp; graduation are 70%, 90% and 68%.",()
1303,is ap students are eligible for this seats  whats the fee in it,()
1304,How are the placement opportunities for freshers? I have 94.49 percentile in CAT and I am done with GD/PI for IMT.,"('LISTING-GDPI-direct-opinion',)"
1305,what is its tution fee and hostel fee?,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
1306,How to prepare for CLAT/LSAT 2014 without any coaching?,"('EXAM-coaching -direct-opinion',)"
1307,Can you acknowledge me with the upcoming engineering entrance exams?,"('LISTING-Entrance exam-direct-opinion',)"
1308,Which is a better option among PGDM and MBA in terms of employment opportunities?,()
1309,"Which college should I prefer for my MBA in finance: Ramaiah Bangalore or MSM, Meerut?",()
1310,Is it necessary to get a licence to open a coaching institute for NEET preparation or other tuition centres in Chennai?,"('EXAM-coaching -direct-opinion',)"
1311,will give  coaching for MCSE? What are the fees,"('EXAM-coaching -direct-opinion',)"
1312,Which is a better branch of engineering among electrical and electrical &amp; electronics engineering?,"('COMPARISON-course comp-indirect-opinion',)"
1313,"hi,    How much time in a day should i put,in order to clear UGC NET.REGARDS,Arati",()
1314,When will the AP EAMCET counselling process start?,"('EXAM-counseling-direct-factual', 'EXAM-dates-indirect-factual', 'LISTING-Counselling-direct-factual', 'LISTING-Counselling-direct-opinion')"
1315,"Which MBA colleges can I get in Delhi with 76.29 percentile in CAT along with 85.50% in 10th, 90% in 12th and 74.50% in B.Com (Hons.)?",()
1316,I want to do MBA in future. Which course should I pursue now for a better future scope among BBA and BCA?,"('COMPARISON-course comp-indirect-opinion',)"
1317,Which are the best universities (affiliated to AICTE and DEC) for B.Tech in electrical through correspondence mode?,()
1318,Can I get a seat in NIT? I have scored 80 marks in JEE Main. I belong to OBC category.,"('LISTING-Admissions-direct-opinion',)"
1319,I am in BCA 2nd year and I want to prepare for CAT exam. Which time is best for preparation among my 2nd year or last year?,"('EXAM-preparation-direct-opinion',)"
1320,I am doing my engineerng (CSE)and got a year back and in the year 2010wil finish my engineering.I scored 78% in 10th and 50% in 12th.I am worried as my 12th results are not that good and got a year back too.please help me to decide as to what i should do.will i get job after my engineering or should i do some other course or is mba a must?I will be thankfull to you if you reply.,()
1321,can u help me regarding for cat exam pattern,()
1322,What is the syllabus for JEE Mains paper 2 advance?,"('EXAM-answer key-direct-factual', 'EXAM-pattern-direct-opinion', 'EXAM-sample papers-direct-factual', 'EXAM-sample papers-direct-opinion')"
1323,When will the interview results be announced for PGDM? I attended the interview on March-23rd.,()
1324,hello sir/madam can you tell me what will be the last date of itt registarion for appearing in the exam of ipcc in november 2013?,"('EXAM-dates-direct-factual',)"
1325,I got 77 percentile in CAT 2015 entrance. Am I eligible for any NIT or IIMS in India? What are the cut-offs of these colleges for MBA?,()
